Date,Time,Close,Open,High,Low,Volume
20260918,171900,83100,83100,83100,83100,33
20260918,172000,83100,83100,83100,83100,1388
20260918,172100,83000,83100,83100,83000,25
20260918,172200,83100,83100,83100,83100,113
20260918,172300,83000,83100,83100,83000,231
20260918,172400,83100,83100,83100,83100,58
20260918,172500,83100,83100,83100,83100,194
20260918,172600,83100,83000,83100,83000,33
20260918,172700,83100,83000,83100,83000,17
20260918,172800,83100,83100,83100,83100,148
20260918,172900,83100,83100,83100,83100,52
20260918,173000,83100,83100,83100,83100,26
20260918,173100,83100,83100,83100,83100,0
20260918,173200,83100,83100,83100,83100,0
20260918,173300,83100,83100,83100,83100,25
20260918,173400,83200,83200,83200,83200,5
20260918,173500,83200,83200,83200,83200,2
20260918,173600,83200,83200,83200,83200,6
20260918,173700,83200,83200,83200,83200,0
20260918,173800,83100,83100,83100,83100,4
20260918,173900,83100,83100,83100,83100,1
20260918,174000,83100,83100,83100,83100,0
20260918,174100,83200,83100,83200,83100,88
20260918,174200,83100,83100,83100,83100,2
20260918,174300,83100,83100,83100,83100,0
20260918,174400,83200,83200,83200,83200,30
20260918,174500,83100,83200,83200,83100,21
20260918,174600,83100,83100,83100,83100,0
20260918,174700,83100,83100,83100,83100,5
20260918,174800,83100,83100,83100,83100,1
20260918,174900,83200,83200,83200,83200,2
20260918,175000,83100,83100,83100,83100,10
20260918,175100,83200,83100,83200,83100,6
20260918,175200,83200,83200,83200,83200,8
20260918,175300,83200,83200,83200,83200,26
20260918,175400,83200,83200,83200,83200,1
20260918,175500,83200,83200,83200,83200,0
20260918,175600,83100,83100,83100,83100,2
20260918,175700,83200,83200,83200,83200,667
20260918,175800,83200,83200,83200,83200,363
20260918,175900,83300,83200,83300,83200,96
20260918,180000,83100,83200,83200,83100,1353
20260918,180100,83200,83200,83200,83200,151
20260918,180200,83200,83300,83300,83200,3
20260918,180300,83200,83200,83200,83200,0
20260918,180400,83200,83200,83200,83200,114
20260918,180500,83200,83200,83200,83200,241
20260918,180600,83200,83200,83200,83200,224
20260918,180700,83300,83200,83300,83200,83
20260918,180800,83200,83200,83300,83200,218
20260918,180900,83200,83200,83300,83200,99
20260918,181000,83200,83200,83200,83200,190
20260918,181100,83200,83200,83200,83200,83
20260918,181200,83200,83200,83200,83200,16
20260918,181300,83200,83200,83200,83200,131
20260918,181400,83100,83200,83200,83100,28
20260918,181500,83200,83200,83200,83200,1
20260918,181600,83200,83200,83200,83200,4
20260918,181700,83200,83200,83200,83200,344
20260918,181800,83300,83300,83300,83300,3
20260918,181900,83200,83200,83200,83200,50
20260918,182000,83300,83200,83300,83200,1209
20260918,182100,83200,83200,83200,83200,282
20260918,182200,83200,83200,83200,83200,6
20260918,182300,83300,83300,83300,83300,12
20260918,182400,83300,83300,83300,83300,1
20260918,182500,83300,83300,83300,83300,255
20260918,182600,83300,83300,83300,83300,91
20260918,182700,83300,83300,83300,83300,301
20260918,182800,83300,83300,83300,83300,123
20260918,182900,83400,83400,83400,83300,23
20260918,183000,83300,83300,83400,83300,167
20260918,183100,83300,83300,83300,83300,34
20260918,183200,83300,83300,83300,83300,34
20260918,183300,83300,83300,83300,83300,93
20260918,183400,83200,83300,83300,83200,767
20260918,183500,83200,83200,83200,83200,0
20260918,183600,83200,83200,83200,83200,0
20260918,183700,83300,83300,83300,83300,46
20260918,183800,83200,83300,83300,83200,701
20260918,183900,83300,83200,83300,83200,56
20260918,184000,83300,83200,83300,83200,59
20260918,184100,83200,83300,83300,83200,321
20260918,184200,83200,83200,83200,83200,37
20260918,184300,83300,83300,83300,83300,235
20260918,184400,83300,83300,83300,83300,8
20260918,184500,83200,83300,83300,83200,580
20260918,184600,83200,83200,83200,83200,0
20260918,184700,83300,83300,83300,83300,9
20260918,184800,83300,83300,83300,83300,294
20260918,184900,83400,83400,83400,83400,3
20260918,185000,83400,83400,83400,83400,12
20260918,185100,83400,83400,83400,83400,1
20260918,185200,83300,83300,83300,83300,8
20260918,185300,83300,83300,83300,83300,0
20260918,185400,83300,83300,83300,83300,96
20260918,185500,83300,83300,83300,83300,0
20260918,185600,83300,83300,83300,83300,562
20260918,185700,83300,83300,83300,83300,10
20260918,185800,83300,83300,83300,83300,22
20260918,185900,83300,83300,83300,83300,31
20260918,190000,83300,83300,83300,83300,116
20260918,190100,83300,83300,83300,83300,51
20260918,190200,83300,83300,83300,83300,49
